kode_baru,klasifikasi,kode_lama,nama_baru_singkat,nama_lama_singkat,kbli_2020,kbli_2017
PA001,Spesialis,PL001,Penyewaan Peralatan Konstruksi,Jasa Penyewaan Alat Konstruksi dan Pembongkara n Bangunan atau Pekerjaan Sipil Lainnya dengan Operator,43905,43905
PB001,Spesialis,KT011,Pengerjaan Pemasangan Kaca dan Aluminium,Pemasangan curtain wall,43301,43302
PB002,Spesialis,KT001,Pengerjaan Pemasangan Kaca Dan Alumunium,Pekerjaan Kaca dan Pemasangan Kaca Jendela,43301,43301
PB003,Spesialis,KT002,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan",Pekerjaan Plesteran,43302,43302
PB003,Spesialis,KT004,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan",Pekerjaan Pengerjaan PB003,43302,43302
PB003,Spesialis,KT005,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan","Pekerjaan Pemasangan Lantai Lain, Penutupan",43302,43302
PB003,Spesialis,KT009,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan",Pekerjaan Pengerjaan PB003,43302,43302
PB003,Spesialis,KT010,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan",Pekerjaan Pengerjaan PB003,43302,43302
PB004,Spesialis,KT007,Dekorasi Interior,Pekerjaan Dekorasi dan Pemasangan Interior,43304,43304
PB005,Spesialis,KT006,Pemasangan Ornamen dan Pekerjaan Seni,Pekerjaan Kayu dan atau Penyambungan Kayu dan Material Lain,43304,43302
PB005,Spesialis,KT008,Pemasangan Ornamen dan Pekerjaan Seni,Pekerjaan Pemasangan PB005,43304,43304
PB005,Spesialis,SP012,Pemasangan Ornamen dan Pekerjaan Seni,Pekerjaan Pemasangan Batu,43304,43909
PB007,Spesialis,KT003,Pengecatan,Pekerjaan Pengecatan,43303,43303
PB009,Spesialis,SP016,Pembersihan dan Perapihan Bangunan Gedung,Pekerjaan Perawatan Bangunan Gedung,43309,43309
PB010,Spesialis,SP015,"Pekerjaan Lanskap, Pertamanan, dan Penanaman Vegetasi",Pekerjaan Lansekap/Pert am anan,43305,43305
PL001,Spesialis,SP002,43905,Pekerjaan Pembongkaran,43110,43110
PL003,Spesialis,SP003,42120,Pekerjaan Penyiapan dan Pematangan Tanah/Lokasi,43120,43120
PL003,Spesialis,SP005,42120,Jasa Pelaksanaan Pekerjaan Khusus,43120,42115
PL003,Spesialis,SP013,42120,Jasa Pelaksanaan Pekerjaan Penyelidikan Tanah dan Struktur,43120,43120
PL004,Spesialis,SP004,42220,"Pekerjaan Tanah, Galian, dan Timbunan",43120,43120
PL005,Spesialis,SP008,Pembuatan/ Pengeb oran Sumur Air Tanah,Pekerjaan Pengeboran Sumur Air Tanah Dalam,42207,42218
PL007,Spesialis,SP001,Survei Penyelidikan Lapangan,Pekerjaan Penyelidikan Lapangan,43120,71102
PL008,Spesialis,SP006,Pemasangan Perancah (Steiger),Pekerjaan Perancah,43902,43902
ST001,Terintegrasi,TI501,"Bangunan Sipil Jembatan, Jalan Layang, Fly Over, dan Underpass",Jasa Terintegrasi Untuk Infrastruktur Transportasi,42102,42111
ST004,Terintegrasi,TI502,Konstruksi Bangunan Prasarana Sumber Daya Air,"Jasa Terintegrasi Untuk Konstruksi Sumber Daya Air, Penyaluran Air, dan Pekerjaan Sanitasi",42911,42211
ST006,Terintegrasi,TI504,Konstruksi Bangunan Sipil Minyak dan Gas Bumi,Jasa Terintegrasi Untuk Konstruksi Fasilitas Minyak dan Gas,42915,42914
ST010,Terintegrasi,TI503,"Konstruksi Bangunan Sipil Fasilitas Pengolahan Produk Kimia, Petrokimia, Farmasi, dan Industri Lainnya",Jasa Terintegrasi Untuk Konstruksi Manufaktur,42923,42920
